"","","","","","","","","","","","","","","","",""
"Length of series (n)","Method","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)"
"48","CITS","30.00 (10.2500)","15.00 (7.9800)","20.00 (8.9400)","25.00 (9.6800)","40.00 (10.9500)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","75.00 (9.6800)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","85.00 (7.9800)"
"48","CITS(rho = 0.4)","30.00 (10.2500)","10.00 (6.7100)","10.00 (6.7100)","25.00 (9.6800)","30.00 (10.2500)","95.00 (4.8700)","100.00 (0.0000)","95.00 (4.8700)","90.00 (6.7100)","70.00 (10.2500)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","85.00 (7.9800)"
"48","Trd","5.00 (4.8700)","10.00 (6.7100)","25.00 (9.6800)","5.00 (4.8700)","30.00 (10.2500)","45.00 (11.1200)","55.00 (11.1200)","40.00 (10.9500)","30.00 (10.2500)","30.00 (10.2500)","65.00 (10.6700)","60.00 (10.9500)","75.00 (9.6800)","45.00 (11.1200)","45.00 (11.1200)"
"52","CITS","20.00 (8.9400)","15.00 (7.9800)","20.00 (8.9400)","20.00 (8.9400)","15.00 (7.9800)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","90.00 (6.7100)","70.00 (10.2500)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","90.00 (6.7100)"
"52","CITS(rho = 0.4)","10.00 (6.7100)","15.00 (7.9800)","25.00 (9.6800)","25.00 (9.6800)","35.00 (10.6700)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","45.00 (11.1200)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","85.00 (7.9800)"
"52","Trd","5.00 (4.8700)","20.00 (8.9400)","20.00 (8.9400)","15.00 (7.9800)","20.00 (8.9400)","40.00 (10.9500)","55.00 (11.1200)","55.00 (11.1200)","25.00 (9.6800)","40.00 (10.9500)","80.00 (8.9400)","85.00 (7.9800)","60.00 (10.9500)","25.00 (9.6800)","45.00 (11.1200)"
"56","CITS","20.00 (8.9400)","5.00 (4.8700)","25.00 (9.6800)","45.00 (11.1200)","20.00 (8.9400)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","75.00 (9.6800)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","80.00 (8.9400)"
"56","CITS(rho = 0.4)","20.00 (8.9400)","5.00 (4.8700)","10.00 (6.7100)","15.00 (7.9800)","50.00 (11.1800)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","90.00 (6.7100)","70.00 (10.2500)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","70.00 (10.2500)"
"56","Trd","10.00 (6.7100)","20.00 (8.9400)","5.00 (4.8700)","5.00 (4.8700)","40.00 (10.9500)","80.00 (8.9400)","35.00 (10.6700)","35.00 (10.6700)","10.00 (6.7100)","50.00 (11.1800)","85.00 (7.9800)","80.00 (8.9400)","45.00 (11.1200)","50.00 (11.1800)","50.00 (11.1800)"
"60","CITS","10.00 (6.7100)","15.00 (7.9800)","10.00 (6.7100)","15.00 (7.9800)","45.00 (11.1200)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","95.00 (4.8700)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","90.00 (6.7100)"
"60","CITS(rho = 0.4)","20.00 (8.9400)","10.00 (6.7100)","10.00 (6.7100)","5.00 (4.8700)","60.00 (10.9500)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","80.00 (8.9400)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","90.00 (6.7100)"
"60","Trd","15.00 (7.9800)","10.00 (6.7100)","15.00 (7.9800)","5.00 (4.8700)","40.00 (10.9500)","60.00 (10.9500)","35.00 (10.6700)","50.00 (11.1800)","20.00 (8.9400)","35.00 (10.6700)","80.00 (8.9400)","70.00 (10.2500)","75.00 (9.6800)","35.00 (10.6700)","60.00 (10.9500)"
"80","CITS","25.00 (9.6800)","10.00 (6.7100)","15.00 (7.9800)","20.00 (8.9400)","35.00 (10.6700)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","75.00 (9.6800)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)"
"80","CITS(rho = 0.4)","20.00 (8.9400)","15.00 (7.9800)","25.00 (9.6800)","5.00 (4.8700)","50.00 (11.1800)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","50.00 (11.1800)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","90.00 (6.7100)"
"80","Trd","0.00 (0.0000)","15.00 (7.9800)","25.00 (9.6800)","30.00 (10.2500)","40.00 (10.9500)","55.00 (11.1200)","50.00 (11.1800)","30.00 (10.2500)","40.00 (10.9500)","35.00 (10.6700)","90.00 (6.7100)","95.00 (4.8700)","70.00 (10.2500)","45.00 (11.1200)","40.00 (10.9500)"
"100","CITS","20.00 (8.9400)","10.00 (6.7100)","20.00 (8.9400)","10.00 (6.7100)","25.00 (9.6800)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","75.00 (9.6800)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)"
"100","CITS(rho = 0.4)","20.00 (8.9400)","15.00 (7.9800)","20.00 (8.9400)","25.00 (9.6800)","40.00 (10.9500)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","65.00 (10.6700)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","90.00 (6.7100)"
"100","Trd","10.00 (6.7100)","10.00 (6.7100)","20.00 (8.9400)","25.00 (9.6800)","35.00 (10.6700)","65.00 (10.6700)","70.00 (10.2500)","65.00 (10.6700)","45.00 (11.1200)","55.00 (11.1200)","95.00 (4.8700)","90.00 (6.7100)","85.00 (7.9800)","55.00 (11.1200)","50.00 (11.1800)"
"150","CITS","25.00 (9.6800)","25.00 (9.6800)","30.00 (10.2500)","20.00 (8.9400)","45.00 (11.1200)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","80.00 (8.9400)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)"
"150","CITS(rho = 0.4)","10.00 (6.7100)","25.00 (9.6800)","25.00 (9.6800)","10.00 (6.7100)","10.00 (6.7100)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","80.00 (8.9400)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)"
"150","Trd","0.00 (0.0000)","0.00 (0.0000)","10.00 (6.7100)","10.00 (6.7100)","20.00 (8.9400)","80.00 (8.9400)","75.00 (9.6800)","60.00 (10.9500)","55.00 (11.1200)","45.00 (11.1200)","95.00 (4.8700)","100.00 (0.0000)","95.00 (4.8700)","75.00 (9.6800)","45.00 (11.1200)"
