"","","","","","","","","","","","","","","","",""
"Length of series (n)","Method","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)"
"48","Trd","-0.0503 (0.1420)","-0.0736 (0.1855)","-0.1259 (0.2748)","-0.0863 (0.3579)","-0.1037 (0.4757)","-0.3022 (0.2723)","-0.4149 (0.2612)","-0.3405 (0.2911)","-0.3398 (0.4075)","-0.2601 (0.7016)","-0.4119 (0.2549)","-0.4351 (0.2110)","-0.6170 (0.3172)","-0.4851 (0.3466)","-0.5958 (0.5898)"
"52","CITS","-0.0550 (0.0638)","-0.0484 (0.0819)","-0.0872 (0.0823)","-0.0053 (0.1244)","-0.0758 (0.1764)","-0.3608 (0.0518)","-0.3269 (0.0768)","-0.3420 (0.0961)","-0.3953 (0.1523)","-0.3378 (0.2301)","-0.5374 (0.0621)","-0.5193 (0.0876)","-0.5049 (0.1095)","-0.4872 (0.1310)","-0.4458 (0.2521)"
"52","CITS(rho = 0.4)","-0.0559 (0.0874)","-0.0224 (0.0865)","-0.0956 (0.0922)","-0.0385 (0.1185)","0.0338 (0.3022)","-0.3836 (0.0925)","-0.3215 (0.0670)","-0.3534 (0.0968)","-0.4001 (0.1658)","-0.2733 (0.2829)","-0.5511 (0.0825)","-0.5230 (0.0975)","-0.5060 (0.1157)","-0.4780 (0.1203)","-0.5130 (0.2490)"
"52","Trd","-0.0395 (0.2110)","-0.0347 (0.3185)","-0.1374 (0.2713)","0.0237 (0.3378)","0.0414 (0.4409)","-0.3052 (0.2283)","-0.4175 (0.1917)","-0.4555 (0.4085)","-0.2975 (0.3714)","-0.3462 (0.5337)","-0.5027 (0.1816)","-0.5110 (0.2220)","-0.5322 (0.2558)","-0.3049 (0.2936)","-0.5861 (0.5941)"
"56","CITS","-0.0411 (0.0635)","-0.0134 (0.0513)","-0.0487 (0.0730)","-0.0007 (0.1535)","-0.0739 (0.1957)","-0.3856 (0.0683)","-0.3733 (0.0651)","-0.3838 (0.0573)","-0.3448 (0.1183)","-0.3157 (0.2538)","-0.5259 (0.0617)","-0.5237 (0.0611)","-0.5250 (0.0908)","-0.5735 (0.1323)","-0.4923 (0.3176)"
"56","CITS(rho = 0.4)","-0.0194 (0.0918)","-0.0198 (0.0664)","-0.0379 (0.0697)","0.0117 (0.1084)","-0.0795 (0.2987)","-0.3924 (0.0993)","-0.3825 (0.0741)","-0.3739 (0.0612)","-0.3536 (0.1301)","-0.3599 (0.3133)","-0.5101 (0.0760)","-0.5251 (0.0754)","-0.5173 (0.0964)","-0.5403 (0.1270)","-0.5319 (0.3154)"
"56","Trd","-0.0787 (0.1722)","0.0105 (0.2839)","-0.0742 (0.1781)","-0.0918 (0.2799)","0.1477 (0.6238)","-0.4391 (0.1568)","-0.3271 (0.1846)","-0.2749 (0.3829)","-0.1878 (0.3027)","-0.2558 (0.5943)","-0.4984 (0.2230)","-0.5676 (0.2342)","-0.4672 (0.2723)","-0.5263 (0.3784)","-0.4750 (0.6836)"
"60","CITS","-0.0470 (0.0415)","-0.0423 (0.0476)","-0.0639 (0.0717)","-0.0427 (0.1091)","0.0005 (0.2924)","-0.3636 (0.0568)","-0.3805 (0.0621)","-0.3300 (0.0642)","-0.4215 (0.1487)","-0.4834 (0.2007)","-0.4998 (0.0543)","-0.4999 (0.0548)","-0.5431 (0.0784)","-0.5527 (0.1156)","-0.5101 (0.2489)"
"60","CITS(rho = 0.4)","-0.0503 (0.0846)","-0.0333 (0.0731)","-0.0773 (0.0632)","-0.0263 (0.0990)","0.0250 (0.3356)","-0.3524 (0.0768)","-0.3816 (0.0697)","-0.3416 (0.0679)","-0.3846 (0.1389)","-0.4687 (0.2934)","-0.5087 (0.0858)","-0.4952 (0.0700)","-0.5497 (0.0858)","-0.5400 (0.1377)","-0.5742 (0.2786)"
"60","Trd","0.0015 (0.2408)","0.0015 (0.2044)","-0.1049 (0.3250)","-0.0439 (0.2499)","0.2611 (0.5714)","-0.3760 (0.2187)","-0.3295 (0.2417)","-0.4630 (0.2373)","-0.2607 (0.3007)","-0.4749 (0.4956)","-0.4833 (0.1521)","-0.5038 (0.2394)","-0.5297 (0.2706)","-0.3874 (0.3179)","-0.4663 (0.7572)"
"80","CITS","-0.0645 (0.0429)","-0.0345 (0.0620)","-0.0447 (0.0596)","-0.0679 (0.0842)","-0.0616 (0.1628)","-0.3800 (0.0476)","-0.3733 (0.0480)","-0.3752 (0.0695)","-0.3667 (0.0982)","-0.3488 (0.2086)","-0.5197 (0.0448)","-0.5262 (0.0496)","-0.4881 (0.0903)","-0.5185 (0.1099)","-0.6009 (0.1681)"
"80","CITS(rho = 0.4)","-0.0556 (0.0696)","-0.0404 (0.0823)","-0.0494 (0.0691)","-0.0287 (0.0888)","-0.0917 (0.2683)","-0.3816 (0.0797)","-0.3792 (0.0693)","-0.3739 (0.0757)","-0.3550 (0.1168)","-0.3064 (0.2126)","-0.5441 (0.0671)","-0.5224 (0.0554)","-0.4931 (0.0765)","-0.5078 (0.0966)","-0.5285 (0.2679)"
"80","Trd","-0.0122 (0.1265)","0.0051 (0.2188)","-0.0765 (0.2470)","-0.1316 (0.3649)","-0.1909 (0.4416)","-0.2943 (0.1743)","-0.3599 (0.2126)","-0.3010 (0.2745)","-0.3402 (0.4078)","-0.3361 (0.5251)","-0.4693 (0.1526)","-0.5712 (0.2095)","-0.5988 (0.2398)","-0.4978 (0.2455)","-0.3955 (0.6734)"
"100","CITS","-0.0500 (0.0484)","-0.0363 (0.0423)","-0.0463 (0.0601)","-0.0190 (0.0831)","-0.0648 (0.1726)","-0.3557 (0.0425)","-0.3541 (0.0462)","-0.3617 (0.0522)","-0.3588 (0.0936)","-0.3784 (0.2075)","-0.5055 (0.0425)","-0.5153 (0.0427)","-0.5220 (0.0567)","-0.5044 (0.0776)","-0.6019 (0.1588)"
"100","CITS(rho = 0.4)","-0.0472 (0.0652)","-0.0414 (0.0613)","-0.0466 (0.0689)","-0.0197 (0.0905)","-0.0449 (0.2682)","-0.3513 (0.0531)","-0.3561 (0.0625)","-0.3606 (0.0570)","-0.3468 (0.0798)","-0.3693 (0.2740)","-0.5185 (0.0549)","-0.5340 (0.0468)","-0.5204 (0.0603)","-0.4870 (0.0933)","-0.4800 (0.1689)"
"100","Trd","-0.0166 (0.1266)","-0.0624 (0.1852)","-0.0602 (0.2177)","-0.0090 (0.3144)","0.2752 (0.5194)","-0.2927 (0.1387)","-0.3678 (0.1603)","-0.3999 (0.2372)","-0.3705 (0.3891)","-0.4226 (0.4704)","-0.4656 (0.1275)","-0.5611 (0.2013)","-0.5579 (0.2166)","-0.4650 (0.3076)","-0.5843 (0.4089)"
"150","CITS","-0.0453 (0.0375)","-0.0513 (0.0449)","-0.0497 (0.0497)","-0.0381 (0.0685)","-0.0492 (0.1870)","-0.3580 (0.0257)","-0.3588 (0.0414)","-0.3454 (0.0368)","-0.3618 (0.0813)","-0.3587 (0.1810)","-0.5184 (0.0383)","-0.4975 (0.0369)","-0.5125 (0.0566)","-0.4994 (0.0625)","-0.4530 (0.1275)"
"150","CITS(rho = 0.4)","-0.0336 (0.0490)","-0.0463 (0.0612)","-0.0542 (0.0511)","-0.0174 (0.0535)","-0.0513 (0.1730)","-0.3610 (0.0578)","-0.3587 (0.0448)","-0.3478 (0.0392)","-0.3669 (0.0791)","-0.3751 (0.2183)","-0.5290 (0.0597)","-0.4948 (0.0538)","-0.5113 (0.0569)","-0.4891 (0.0800)","-0.4981 (0.2110)"
"150","Trd","-0.0619 (0.0996)","-0.0609 (0.1313)","-0.0008 (0.1492)","-0.0591 (0.2029)","-0.0201 (0.4452)","-0.3298 (0.1105)","-0.3670 (0.1358)","-0.3163 (0.1843)","-0.4161 (0.2906)","-0.6155 (0.4034)","-0.4950 (0.1278)","-0.5076 (0.1811)","-0.5748 (0.1678)","-0.4509 (0.2130)","-0.4704 (0.5029)"
