"","","","","","","","","","","","","","","","",""
"44","Trd","75.00 (9.6800)","90.00 (6.7100)","85.00 (7.9800)","85.00 (7.9800)","40.00 (10.9500)","90.00 (6.7100)","95.00 (4.8700)","75.00 (9.6800)","75.00 (9.6800)","70.00 (10.2500)","85.00 (7.9800)","90.00 (6.7100)","65.00 (10.6700)","80.00 (8.9400)","75.00 (9.6800)"
"48","CITS","95.00 (4.8700)","85.00 (7.9800)","75.00 (9.6800)","75.00 (9.6800)","60.00 (10.9500)","95.00 (4.8700)","95.00 (4.8700)","85.00 (7.9800)","75.00 (9.6800)","75.00 (9.6800)","95.00 (4.8700)","75.00 (9.6800)","80.00 (8.9400)","75.00 (9.6800)","40.00 (10.9500)"
"48","CITS(rho = 0.4)","85.00 (7.9800)","90.00 (6.7100)","80.00 (8.9400)","75.00 (9.6800)","70.00 (10.2500)","95.00 (4.8700)","90.00 (6.7100)","90.00 (6.7100)","70.00 (10.2500)","75.00 (9.6800)","90.00 (6.7100)","75.00 (9.6800)","95.00 (4.8700)","70.00 (10.2500)","30.00 (10.2500)"
"48","Trd","100.00 (0.0000)","90.00 (6.7100)","80.00 (8.9400)","95.00 (4.8700)","75.00 (9.6800)","75.00 (9.6800)","85.00 (7.9800)","85.00 (7.9800)","80.00 (8.9400)","60.00 (10.9500)","80.00 (8.9400)","85.00 (7.9800)","80.00 (8.9400)","80.00 (8.9400)","65.00 (10.6700)"
"52","CITS","90.00 (6.7100)","85.00 (7.9800)","95.00 (4.8700)","75.00 (9.6800)","80.00 (8.9400)","95.00 (4.8700)","80.00 (8.9400)","85.00 (7.9800)","80.00 (8.9400)","60.00 (10.9500)","85.00 (7.9800)","80.00 (8.9400)","85.00 (7.9800)","80.00 (8.9400)","75.00 (9.6800)"
"52","CITS(rho = 0.4)","85.00 (7.9800)","95.00 (4.8700)","80.00 (8.9400)","80.00 (8.9400)","60.00 (10.9500)","85.00 (7.9800)","90.00 (6.7100)","80.00 (8.9400)","60.00 (10.9500)","65.00 (10.6700)","90.00 (6.7100)","80.00 (8.9400)","85.00 (7.9800)","90.00 (6.7100)","75.00 (9.6800)"
"52","Trd","90.00 (6.7100)","75.00 (9.6800)","80.00 (8.9400)","80.00 (8.9400)","80.00 (8.9400)","90.00 (6.7100)","100.00 (0.0000)","70.00 (10.2500)","75.00 (9.6800)","75.00 (9.6800)","95.00 (4.8700)","90.00 (6.7100)","95.00 (4.8700)","80.00 (8.9400)","70.00 (10.2500)"
"56","CITS","85.00 (7.9800)","100.00 (0.0000)","90.00 (6.7100)","65.00 (10.6700)","80.00 (8.9400)","90.00 (6.7100)","100.00 (0.0000)","95.00 (4.8700)","90.00 (6.7100)","65.00 (10.6700)","90.00 (6.7100)","90.00 (6.7100)","80.00 (8.9400)","70.00 (10.2500)","35.00 (10.6700)"
"56","CITS(rho = 0.4)","80.00 (8.9400)","90.00 (6.7100)","95.00 (4.8700)","85.00 (7.9800)","55.00 (11.1200)","80.00 (8.9400)","90.00 (6.7100)","100.00 (0.0000)","80.00 (8.9400)","55.00 (11.1200)","90.00 (6.7100)","90.00 (6.7100)","80.00 (8.9400)","80.00 (8.9400)","55.00 (11.1200)"
"56","Trd","95.00 (4.8700)","80.00 (8.9400)","95.00 (4.8700)","95.00 (4.8700)","60.00 (10.9500)","100.00 (0.0000)","95.00 (4.8700)","75.00 (9.6800)","85.00 (7.9800)","85.00 (7.9800)","75.00 (9.6800)","80.00 (8.9400)","90.00 (6.7100)","75.00 (9.6800)","65.00 (10.6700)"
