"rho","n","EstimandScenario","j","Method","estimate","se","pvalue","converged","true_B"
"0",12,"Moderate",20,"CITS_0.4_constant",-0.594032734133131,0.0954574071885841,4.87695380672079e-10,TRUE,-0.3567
"0",12,"Moderate",20,"CITS_spill_3pct",-0.354010954781918,0.106011611756211,0.000839716112211567,TRUE,-0.3567
"0",12,"Large",1,"Trd",-0.811344781719418,0.232530748307609,0.00048448025619071,TRUE,-0.5108
"0",12,"Large",1,"CITS",-0.445698194261303,0.0715587134240398,4.71142722515383e-10,TRUE,-0.5108
"0",12,"Large",1,"CITS_0.4_constant",-0.326971553221855,0.138392801661708,0.0181455749650999,TRUE,-0.5108
"0",12,"Large",1,"CITS_spill_3pct",-0.281754347151875,0.0856198787654585,0.000999176382184447,TRUE,-0.5108
"0",12,"Large",2,"Trd",-0.341266409096069,0.362440087691247,0.346407612468998,TRUE,-0.5108
"0",12,"Large",2,"CITS",-0.501833877307397,0.135198488676749,0.000205765746549928,TRUE,-0.5108
"0",12,"Large",2,"CITS_0.4_constant",-0.515313819343929,0.0947288453845957,5.33156248461354e-08,TRUE,-0.5108
"0",12,"Large",2,"CITS_spill_3pct",-0.423396057119997,0.12284212237627,0.000567544801723637,TRUE,-0.5108
"0",12,"Large",3,"Trd",-0.141986879003946,0.145582121441699,0.329409304234926,TRUE,-0.5108
"0",12,"Large",3,"CITS",-0.727740575426839,0.10463484862281,3.52437696575967e-12,TRUE,-0.5108
"0",12,"Large",3,"CITS_0.4_constant",-0.990078937157984,0.169816557264578,5.53327688938458e-09,TRUE,-0.5108
"0",12,"Large",3,"CITS_spill_3pct",-0.513465721399186,0.117810783408246,1.31020811784987e-05,TRUE,-0.5108
"0",12,"Large",4,"Trd",-0.374302214378362,0.326123706924353,0.251079723155216,TRUE,-0.5108
"0",12,"Large",4,"CITS",-0.626548028628563,0.103009467435395,1.18373481891867e-09,TRUE,-0.5108
"0",12,"Large",4,"CITS_0.4_constant",-0.725248601099223,0.195917879805971,0.000214076228711651,TRUE,-0.5108
"0",12,"Large",4,"CITS_spill_3pct",-0.556580809331385,0.0901221349166555,6.58083415309662e-10,TRUE,-0.5108
"0",12,"Large",5,"Trd",-0.476358094105081,0.38013658146962,0.210160754714313,TRUE,-0.5108
"0",12,"Large",5,"CITS",-0.439683581248707,0.13215450371512,0.000877731505181559,TRUE,-0.5108
"0",12,"Large",5,"CITS_0.4_constant",-0.437533698933226,0.195067664274053,0.0248978300745444,TRUE,-0.5108
"0",12,"Large",5,"CITS_spill_3pct",-0.450572629021317,0.117169355461948,0.000120315773869182,TRUE,-0.5108
"0",12,"Large",6,"Trd",-0.451753690848066,0.274428553075154,0.0997305341942251,TRUE,-0.5108
"0",12,"Large",6,"CITS",-0.58712073228995,0.0729786641128014,8.61742387409975e-16,TRUE,-0.5108
"0",12,"Large",6,"CITS_0.4_constant",-0.424064339452833,0.0900715102112673,2.50054653571615e-06,TRUE,-0.5108
"0",12,"Large",6,"CITS_spill_3pct",-0.505235206607949,0.0705616128791112,8.05598916535402e-13,TRUE,-0.5108
"0",12,"Large",7,"Trd",-0.527832617085304,0.26386110330858,0.0454550986640857,TRUE,-0.5108
"0",12,"Large",7,"CITS",-0.40981779654057,0.0649909305499268,2.86766429310615e-10,TRUE,-0.5108
"0",12,"Large",7,"CITS_0.4_constant",-0.59525190440501,0.10764457861575,3.20614535003942e-08,TRUE,-0.5108
"0",12,"Large",7,"CITS_spill_3pct",-0.357821257181198,0.0806288271132013,9.08482054568073e-06,TRUE,-0.5108
"0",12,"Large",8,"Trd",-0.649800982943481,0.337119234739569,0.0539159971180169,TRUE,-0.5108
"0",12,"Large",8,"CITS",-0.497132868024226,0.182869238986074,0.00655755752714064,TRUE,-0.5108
"0",12,"Large",8,"CITS_0.4_constant",-0.728086025649424,0.198564023655751,0.000245646015915355,TRUE,-0.5108
"0",12,"Large",8,"CITS_spill_3pct",-0.453887130932752,0.185090348213074,0.0141967430385603,TRUE,-0.5108
"0",12,"Large",9,"Trd",-0.32787939182594,0.441998112724973,0.458201402756563,TRUE,-0.5108
"0",12,"Large",9,"CITS",-0.383002416944362,0.0754387099153507,3.83438553968309e-07,TRUE,-0.5108
"0",12,"Large",9,"CITS_0.4_constant",-0.359725417393418,0.149340492381662,0.0160068164643213,TRUE,-0.5108
"0",12,"Large",9,"CITS_spill_3pct",-0.250742701246053,0.0806646380392383,0.0018806588664829,TRUE,-0.5108
"0",12,"Large",10,"Trd",0.731999868897,0.228717108001117,0.00137208593052878,TRUE,-0.5108
"0",12,"Large",10,"CITS",-0.475075076139453,0.116077677412716,4.26316369591006e-05,TRUE,-0.5108
"0",12,"Large",10,"CITS_0.4_constant",-0.455459227128351,0.117854077330466,0.0001112700047784,TRUE,-0.5108
"0",12,"Large",10,"CITS_spill_3pct",-0.369011011536804,0.118676381537191,0.00187474839357965,TRUE,-0.5108
"0",12,"Large",11,"Trd",-1.00479854740481,0.23825383472152,2.47195951897049e-05,TRUE,-0.5108
"0",12,"Large",11,"CITS",-0.559956379957513,0.134345544518821,3.07242300737782e-05,TRUE,-0.5108
"0",12,"Large",11,"CITS_0.4_constant",-0.361786942326646,0.126454983303881,0.00422315109440659,TRUE,-0.5108
"0",12,"Large",11,"CITS_spill_3pct",-0.470878507710875,0.0832520923547782,1.54890826756939e-08,TRUE,-0.5108
"0",12,"Large",12,"Trd",-0.2919590188664,0.250900647628467,0.244568335538107,TRUE,-0.5108
"0",12,"Large",12,"CITS",-0.569532072826649,0.110269520145932,2.40555508501904e-07,TRUE,-0.5108
"0",12,"Large",12,"CITS_0.4_constant",-0.442499442521787,0.0807176309116232,4.20385491486399e-08,TRUE,-0.5108
"0",12,"Large",12,"CITS_spill_3pct",-0.435811685659106,0.0990987383710107,1.09377800247668e-05,TRUE,-0.5108
"0",12,"Large",13,"Trd",-0.863883368736909,0.290685327512089,0.0029597751042497,TRUE,-0.5108
"0",12,"Large",13,"CITS",-0.497878815067669,0.109826404299118,5.80622957510806e-06,TRUE,-0.5108
"0",12,"Large",13,"CITS_0.4_constant",-0.360803766037403,0.063790134628941,1.54845816756815e-08,TRUE,-0.5108
"0",12,"Large",13,"CITS_spill_3pct",-0.401066588937726,0.119719610035789,0.000807971951866071,TRUE,-0.5108
"0",12,"Large",14,"Trd",-0.238327242770369,0.465902071714355,0.608973442066849,TRUE,-0.5108
"0",12,"Large",14,"CITS",-0.734539967699983,0.101543576163032,4.69866202898787e-13,TRUE,-0.5108
"0",12,"Large",14,"CITS_0.4_constant",-0.709925232224781,0.152709101612761,3.33753487984243e-06,TRUE,-0.5108
"0",12,"Large",14,"CITS_spill_3pct",-0.648304954855617,0.0897938462609712,5.20157457825277e-13,TRUE,-0.5108
"0",12,"Large",15,"Trd",-1.0014574615369,0.214219302179364,2.94072501166594e-06,TRUE,-0.5108
"0",12,"Large",15,"CITS",-0.339601349581362,0.118204299312403,0.00406589786721047,TRUE,-0.5108
"0",12,"Large",15,"CITS_0.4_constant",-0.406470996365334,0.106948828341197,0.00014433918189654,TRUE,-0.5108
