"","","","","","","","","","","","","","","","",""
"Length of series (n)","Method","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)"
"32","CITS","-0.0365 (0.0858)","-0.0487 (0.0863)","-0.0477 (0.1136)","-0.0271 (0.1648)","-0.0848 (0.3024)","-0.3620 (0.0782)","-0.3619 (0.0872)","-0.3733 (0.1156)","-0.3410 (0.1609)","-0.3324 (0.2883)","-0.5119 (0.0735)","-0.5156 (0.0858)","-0.5068 (0.1115)","-0.5033 (0.1705)","-0.5224 (0.2605)"
"32","CITS_0.4_constant","-0.1873 (0.1212)","-0.1968 (0.1488)","-0.2013 (0.1751)","-0.1831 (0.2591)","-0.1573 (0.4873)","-0.5207 (0.1108)","-0.5051 (0.1305)","-0.5027 (0.1851)","-0.5046 (0.2629)","-0.4994 (0.4559)","-0.6620 (0.1180)","-0.6652 (0.1613)","-0.6670 (0.2097)","-0.6492 (0.2722)","-0.6964 (0.4624)"
"36","Trd","-0.0427 (0.2433)","-0.0774 (0.3085)","-0.0216 (0.3414)","-0.0349 (0.4173)","0.0214 (0.5890)","-0.3502 (0.2479)","-0.3114 (0.2573)","-0.3587 (0.3276)","-0.3404 (0.4283)","-0.3194 (0.5853)","-0.5242 (0.2520)","-0.4992 (0.2869)","-0.4843 (0.3472)","-0.4721 (0.4024)","-0.4811 (0.5950)"
"36","CITS","-0.0325 (0.0692)","-0.0332 (0.0826)","-0.0521 (0.1134)","-0.0380 (0.1637)","-0.0233 (0.2917)","-0.3621 (0.0711)","-0.3696 (0.0831)","-0.3543 (0.1051)","-0.3652 (0.1639)","-0.3592 (0.2575)","-0.5127 (0.0700)","-0.5189 (0.0787)","-0.5217 (0.1065)","-0.5110 (0.1557)","-0.5272 (0.2817)"
"36","CITS_0.4_constant","0.0494 (0.1111)","0.0438 (0.1284)","0.0753 (0.1922)","0.0870 (0.2478)","0.0722 (0.4883)","-0.2512 (0.1124)","-0.2537 (0.1547)","-0.2511 (0.1819)","-0.3122 (0.2435)","-0.2545 (0.3967)","-0.4371 (0.1210)","-0.4431 (0.1426)","-0.4231 (0.1831)","-0.4467 (0.2387)","-0.4194 (0.3904)"
"40","Trd","-0.0240 (0.2267)","0.0234 (0.2705)","-0.0659 (0.3510)","-0.0468 (0.4333)","0.0034 (0.6209)","-0.3516 (0.2469)","-0.4124 (0.2672)","-0.3277 (0.3425)","-0.3241 (0.4361)","-0.3057 (0.6224)","-0.5296 (0.2609)","-0.5004 (0.2433)","-0.5058 (0.3269)","-0.5467 (0.4435)","-0.4919 (0.6026)"
"40","CITS","-0.0460 (0.0697)","-0.0504 (0.0766)","-0.0417 (0.1040)","-0.0379 (0.1520)","-0.0676 (0.2410)","-0.3563 (0.0702)","-0.3690 (0.0829)","-0.3703 (0.1184)","-0.3378 (0.1416)","-0.3905 (0.2634)","-0.5152 (0.0779)","-0.5037 (0.0878)","-0.5217 (0.1035)","-0.5079 (0.1569)","-0.5165 (0.2495)"
"40","CITS_0.4_constant","-0.0168 (0.1064)","-0.0027 (0.1356)","-0.0241 (0.1704)","-0.0110 (0.2490)","-0.0219 (0.4224)","-0.3440 (0.1102)","-0.3542 (0.1305)","-0.3249 (0.1775)","-0.3580 (0.2637)","-0.3532 (0.4105)","-0.5170 (0.1101)","-0.4877 (0.1121)","-0.5102 (0.1684)","-0.5306 (0.2477)","-0.4954 (0.3751)"
"44","Trd","-0.0224 (0.2251)","-0.0044 (0.2437)","-0.0836 (0.3060)","-0.0723 (0.4382)","0.0836 (0.5306)","-0.3186 (0.2143)","-0.3530 (0.2579)","-0.3688 (0.3410)","-0.3457 (0.3670)","-0.4292 (0.5839)","-0.5148 (0.2233)","-0.4912 (0.2754)","-0.5259 (0.3455)","-0.4706 (0.4061)","-0.5454 (0.6504)"
"44","CITS","-0.0418 (0.0632)","-0.0441 (0.0763)","-0.0539 (0.0986)","-0.0468 (0.1262)","-0.0121 (0.2763)","-0.3580 (0.0715)","-0.3514 (0.0795)","-0.3556 (0.0959)","-0.3558 (0.1316)","-0.3542 (0.2606)","-0.5166 (0.0706)","-0.5208 (0.0818)","-0.5264 (0.0967)","-0.5067 (0.1408)","-0.5522 (0.2291)"
