"rho","n","EstimandScenario","Method","Policy effect (Empirical SE)","Bias (MCSE)","Coverage 95% (MCSE)","Power (MCSE)","Empirical SE (Model-based SE)","Mean square error (MCSE)","true_val"
"0.2",44,"Small","Multivariable negative binomial regression(Trd)","-0.0376 (0.2671)","0.0032 (0.0029)","84.68 (0.3900)","15.44 (0.3900)","0.2671 (0.2129)","0.0713 (0.0011)",-0.0408
"0.2",44,"Moderate","Controlled interrupted time series(CITS)","-0.3608 (0.0764)","-0.0041 (0.0008)","90.30 (0.3200)","99.79 (0.0500)","0.0764 (0.0674)","0.0059 (0.0001)",-0.3567
"0.2",44,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3612 (0.0934)","-0.0045 (0.0010)","87.62 (0.3500)","98.50 (0.1300)","0.0934 (0.0770)","0.0087 (0.0001)",-0.3567
"0.2",44,"Moderate","Multivariable negative binomial regression(Trd)","-0.3555 (0.2633)","0.0012 (0.0028)","84.70 (0.3900)","44.72 (0.5300)","0.2633 (0.2109)","0.0693 (0.0011)",-0.3567
"0.2",44,"Large","Controlled interrupted time series(CITS)","-0.5174 (0.0767)","-0.0066 (0.0008)","89.87 (0.3200)","100.00 (0.0000)","0.0767 (0.0678)","0.0059 (0.0001)",-0.5108
"0.2",44,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5189 (0.0946)","-0.0081 (0.0010)","87.04 (0.3600)","100.00 (0.0000)","0.0946 (0.0773)","0.0090 (0.0001)",-0.5108
"0.2",44,"Large","Multivariable negative binomial regression(Trd)","-0.5022 (0.2659)","0.0086 (0.0029)","84.45 (0.3900)","64.00 (0.5100)","0.2659 (0.2115)","0.0707 (0.0011)",-0.5108
"0.2",48,"Small","Controlled interrupted time series(CITS)","-0.0442 (0.0720)","-0.0034 (0.0008)","90.72 (0.3100)","15.10 (0.3800)","0.0720 (0.0645)","0.0052 (0.0001)",-0.0408
"0.2",48,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0435 (0.0894)","-0.0027 (0.0010)","87.64 (0.3500)","16.36 (0.4000)","0.0894 (0.0738)","0.0080 (0.0001)",-0.0408
"0.2",48,"Small","Multivariable negative binomial regression(Trd)","-0.0400 (0.2551)","0.0008 (0.0027)","85.34 (0.3800)","15.16 (0.3800)","0.2551 (0.2066)","0.0651 (0.0010)",-0.0408
"0.2",48,"Moderate","Controlled interrupted time series(CITS)","-0.3614 (0.0738)","-0.0047 (0.0008)","89.49 (0.3300)","99.86 (0.0400)","0.0738 (0.0647)","0.0055 (0.0001)",-0.3567
"0.2",48,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3616 (0.0892)","-0.0049 (0.0010)","87.66 (0.3500)","99.22 (0.0900)","0.0892 (0.0738)","0.0080 (0.0001)",-0.3567
"0.2",48,"Moderate","Multivariable negative binomial regression(Trd)","-0.3547 (0.2557)","0.0020 (0.0027)","85.00 (0.3800)","45.80 (0.5300)","0.2557 (0.2051)","0.0654 (0.0010)",-0.3567
"0.2",48,"Large","Controlled interrupted time series(CITS)","-0.5159 (0.0730)","-0.0051 (0.0008)","90.17 (0.3200)","100.00 (0.0000)","0.0730 (0.0650)","0.0054 (0.0001)",-0.5108
"0.2",48,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5178 (0.0899)","-0.0070 (0.0010)","87.14 (0.3600)","99.99 (0.0100)","0.0899 (0.0742)","0.0081 (0.0001)",-0.5108
"0.2",48,"Large","Multivariable negative binomial regression(Trd)","-0.5088 (0.2546)","0.0020 (0.0027)","84.82 (0.3800)","67.13 (0.5000)","0.2546 (0.2058)","0.0648 (0.0010)",-0.5108
"0.2",52,"Small","Controlled interrupted time series(CITS)","-0.0438 (0.0690)","-0.0030 (0.0007)","90.68 (0.3100)","15.18 (0.3800)","0.0690 (0.0618)","0.0048 (0.0001)",-0.0408
"0.2",52,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0442 (0.0853)","-0.0034 (0.0009)","87.91 (0.3500)","16.52 (0.4000)","0.0853 (0.0707)","0.0073 (0.0001)",-0.0408
"0.2",52,"Small","Multivariable negative binomial regression(Trd)","-0.0366 (0.2497)","0.0042 (0.0027)","86.43 (0.3700)","14.02 (0.3700)","0.2497 (0.2055)","0.0624 (0.0009)",-0.0408
"0.2",52,"Moderate","Controlled interrupted time series(CITS)","-0.3602 (0.0697)","-0.0035 (0.0007)","90.50 (0.3100)","99.95 (0.0200)","0.0697 (0.0623)","0.0049 (0.0001)",-0.3567
"0.2",52,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3609 (0.0860)","-0.0042 (0.0009)","88.32 (0.3400)","99.44 (0.0800)","0.0860 (0.0713)","0.0074 (0.0001)",-0.3567
"0.2",52,"Moderate","Multivariable negative binomial regression(Trd)","-0.3501 (0.2527)","0.0066 (0.0027)","85.28 (0.3800)","44.61 (0.5300)","0.2527 (0.2054)","0.0639 (0.0010)",-0.3567
"0.2",52,"Large","Controlled interrupted time series(CITS)","-0.5159 (0.0699)","-0.0051 (0.0007)","90.76 (0.3100)","100.00 (0.0000)","0.0699 (0.0624)","0.0049 (0.0001)",-0.5108
"0.2",52,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5171 (0.0855)","-0.0063 (0.0009)","88.39 (0.3400)","100.00 (0.0000)","0.0855 (0.0713)","0.0073 (0.0001)",-0.5108
"0.2",52,"Large","Multivariable negative binomial regression(Trd)","-0.5065 (0.2526)","0.0043 (0.0027)","85.61 (0.3800)","67.16 (0.5000)","0.2526 (0.2060)","0.0638 (0.0010)",-0.5108
"0.2",56,"Small","Controlled interrupted time series(CITS)","-0.0448 (0.0679)","-0.0040 (0.0007)","90.10 (0.3200)","16.53 (0.4000)","0.0679 (0.0598)","0.0046 (0.0001)",-0.0408
"0.2",56,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0458 (0.0834)","-0.0050 (0.0009)","87.86 (0.3500)","17.28 (0.4100)","0.0834 (0.0686)","0.0070 (0.0001)",-0.0408
"0.2",56,"Small","Multivariable negative binomial regression(Trd)","-0.0337 (0.2392)","0.0071 (0.0026)","86.98 (0.3600)","13.48 (0.3700)","0.2392 (0.2011)","0.0573 (0.0009)",-0.0408
"0.2",56,"Moderate","Controlled interrupted time series(CITS)","-0.3620 (0.0673)","-0.0053 (0.0007)","90.61 (0.3100)","100.00 (0.0000)","0.0673 (0.0599)","0.0046 (0.0001)",-0.3567
"0.2",56,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3622 (0.0828)","-0.0055 (0.0009)","88.03 (0.3500)","99.61 (0.0700)","0.0828 (0.0685)","0.0069 (0.0001)",-0.3567
"0.2",56,"Moderate","Multivariable negative binomial regression(Trd)","-0.3580 (0.2387)","-0.0013 (0.0026)","86.68 (0.3600)","46.67 (0.5400)","0.2387 (0.2008)","0.0570 (0.0009)",-0.3567
"0.2",56,"Large","Controlled interrupted time series(CITS)","-0.5173 (0.0663)","-0.0065 (0.0007)","90.86 (0.3100)","100.00 (0.0000)","0.0663 (0.0600)","0.0044 (0.0001)",-0.5108
"0.2",56,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5196 (0.0828)","-0.0088 (0.0009)","87.75 (0.3500)","100.00 (0.0000)","0.0828 (0.0687)","0.0069 (0.0001)",-0.5108
"0.2",56,"Large","Multivariable negative binomial regression(Trd)","-0.5102 (0.2423)","0.0006 (0.0026)","86.46 (0.3700)","69.22 (0.5000)","0.2423 (0.2016)","0.0587 (0.0009)",-0.5108
"0.2",60,"Small","Controlled interrupted time series(CITS)","-0.0441 (0.0635)","-0.0033 (0.0007)","91.45 (0.3000)","15.87 (0.3900)","0.0635 (0.0577)","0.0040 (0.0001)",-0.0408
"0.2",60,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0447 (0.0795)","-0.0039 (0.0009)","88.14 (0.3500)","16.80 (0.4000)","0.0795 (0.0663)","0.0063 (0.0001)",-0.0408
"0.2",60,"Small","Multivariable negative binomial regression(Trd)","-0.0388 (0.2332)","0.0020 (0.0025)","87.06 (0.3600)","13.49 (0.3700)","0.2332 (0.1961)","0.0544 (0.0008)",-0.0408
"0.2",60,"Moderate","Controlled interrupted time series(CITS)","-0.3603 (0.0642)","-0.0036 (0.0007)","90.92 (0.3100)","99.99 (0.0100)","0.0642 (0.0579)","0.0041 (0.0001)",-0.3567
"0.2",60,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3614 (0.0790)","-0.0047 (0.0008)","88.84 (0.3400)","99.71 (0.0600)","0.0790 (0.0666)","0.0063 (0.0001)",-0.3567
"0.2",60,"Moderate","Multivariable negative binomial regression(Trd)","-0.3520 (0.2343)","0.0047 (0.0025)","87.20 (0.3600)","47.31 (0.5400)","0.2343 (0.1956)","0.0549 (0.0008)",-0.3567
"0.2",60,"Large","Controlled interrupted time series(CITS)","-0.5147 (0.0647)","-0.0039 (0.0007)","90.77 (0.3100)","100.00 (0.0000)","0.0647 (0.0581)","0.0042 (0.0001)",-0.5108
"0.2",60,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5162 (0.0798)","-0.0054 (0.0009)","88.14 (0.3500)","100.00 (0.0000)","0.0798 (0.0666)","0.0064 (0.0001)",-0.5108
"0.2",60,"Large","Multivariable negative binomial regression(Trd)","-0.5059 (0.2332)","0.0049 (0.0025)","86.74 (0.3600)","71.36 (0.4800)","0.2332 (0.1949)","0.0544 (0.0008)",-0.5108
"0.2",80,"Small","Controlled interrupted time series(CITS)","-0.0442 (0.0552)","-0.0034 (0.0006)","91.57 (0.3000)","18.00 (0.4100)","0.0552 (0.0501)","0.0031 (0.0000)",-0.0408
"0.2",80,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0447 (0.0687)","-0.0039 (0.0007)","89.02 (0.3400)","17.68 (0.4100)","0.0687 (0.0577)","0.0047 (0.0001)",-0.0408
"0.2",80,"Small","Multivariable negative binomial regression(Trd)","-0.0412 (0.2034)","-0.0004 (0.0022)","89.05 (0.3300)","11.90 (0.3500)","0.2034 (0.1752)","0.0414 (0.0006)",-0.0408
"0.2",80,"Moderate","Controlled interrupted time series(CITS)","-0.3601 (0.0560)","-0.0034 (0.0006)","90.85 (0.3100)","100.00 (0.0000)","0.0560 (0.0504)","0.0031 (0.0000)",-0.3567
"0.2",80,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3616 (0.0691)","-0.0049 (0.0007)","89.03 (0.3400)","99.99 (0.0100)","0.0691 (0.0581)","0.0048 (0.0001)",-0.3567
"0.2",80,"Moderate","Multivariable negative binomial regression(Trd)","-0.3526 (0.2025)","0.0041 (0.0022)","88.71 (0.3400)","53.28 (0.5400)","0.2025 (0.1756)","0.0410 (0.0006)",-0.3567
"0.2",80,"Large","Controlled interrupted time series(CITS)","-0.5156 (0.0559)","-0.0048 (0.0006)","91.26 (0.3000)","100.00 (0.0000)","0.0559 (0.0504)","0.0031 (0.0000)",-0.5108
"0.2",80,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5179 (0.0687)","-0.0071 (0.0007)","88.81 (0.3400)","100.00 (0.0000)","0.0687 (0.0582)","0.0048 (0.0001)",-0.5108
"0.2",80,"Large","Multivariable negative binomial regression(Trd)","-0.5104 (0.2021)","0.0004 (0.0022)","88.44 (0.3400)","79.26 (0.4300)","0.2021 (0.1750)","0.0409 (0.0006)",-0.5108
"0.2",100,"Small","Controlled interrupted time series(CITS)","-0.0434 (0.0491)","-0.0026 (0.0005)","92.18 (0.2900)","19.22 (0.4200)","0.0491 (0.0452)","0.0024 (0.0000)",-0.0408
"0.2",100,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0440 (0.0601)","-0.0032 (0.0006)","90.93 (0.3100)","17.36 (0.4100)","0.0601 (0.0531)","0.0036 (0.0001)",-0.0408
"0.2",100,"Small","Multivariable negative binomial regression(Trd)","-0.0395 (0.1760)","0.0013 (0.0019)","90.31 (0.3200)","10.35 (0.3300)","0.1760 (0.1563)","0.0310 (0.0005)",-0.0408
"0.2",100,"Moderate","Controlled interrupted time series(CITS)","-0.3605 (0.0495)","-0.0038 (0.0005)","91.95 (0.2900)","100.00 (0.0000)","0.0495 (0.0456)","0.0025 (0.0000)",-0.3567
"0.2",100,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3605 (0.0615)","-0.0038 (0.0007)","90.19 (0.3200)","99.99 (0.0100)","0.0615 (0.0532)","0.0038 (0.0001)",-0.3567
"0.2",100,"Moderate","Multivariable negative binomial regression(Trd)","-0.3599 (0.1780)","-0.0032 (0.0019)","89.23 (0.3300)","62.28 (0.5200)","0.1780 (0.1572)","0.0317 (0.0005)",-0.3567
"0.2",100,"Large","Controlled interrupted time series(CITS)","-0.5151 (0.0497)","-0.0043 (0.0005)","91.63 (0.3000)","100.00 (0.0000)","0.0497 (0.0457)","0.0025 (0.0000)",-0.5108
"0.2",100,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5166 (0.0615)","-0.0058 (0.0007)","89.59 (0.3300)","100.00 (0.0000)","0.0615 (0.0534)","0.0038 (0.0001)",-0.5108
"0.2",100,"Large","Multivariable negative binomial regression(Trd)","-0.5103 (0.1799)","0.0005 (0.0019)","89.23 (0.3300)","86.75 (0.3600)","0.1799 (0.1568)","0.0324 (0.0005)",-0.5108
"0.2",150,"Small","Controlled interrupted time series(CITS)","-0.0439 (0.0394)","-0.0031 (0.0004)","92.78 (0.2800)","23.61 (0.4600)","0.0394 (0.0373)","0.0016 (0.0000)",-0.0408
"0.2",150,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0454 (0.0488)","-0.0046 (0.0005)","91.32 (0.3000)","21.70 (0.4400)","0.0488 (0.0438)","0.0024 (0.0000)",-0.0408
"0.2",150,"Small","Multivariable negative binomial regression(Trd)","-0.0390 (0.1403)","0.0018 (0.0015)","91.18 (0.3000)","9.67 (0.3200)","0.1403 (0.1288)","0.0197 (0.0003)",-0.0408
"0.2",150,"Moderate","Controlled interrupted time series(CITS)","-0.3609 (0.0402)","-0.0042 (0.0004)","92.67 (0.2800)","100.00 (0.0000)","0.0402 (0.0375)","0.0016 (0.0000)",-0.3567
"0.2",150,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3632 (0.0499)","-0.0065 (0.0005)","90.61 (0.3100)","100.00 (0.0000)","0.0499 (0.0440)","0.0025 (0.0000)",-0.3567
"0.2",150,"Moderate","Multivariable negative binomial regression(Trd)","-0.3572 (0.1450)","-0.0005 (0.0016)","90.68 (0.3100)","76.57 (0.4500)","0.1450 (0.1292)","0.0210 (0.0003)",-0.3567
"0.2",150,"Large","Controlled interrupted time series(CITS)","-0.5161 (0.0404)","-0.0053 (0.0004)","92.48 (0.2800)","100.00 (0.0000)","0.0404 (0.0376)","0.0017 (0.0000)",-0.5108
"0.2",150,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5179 (0.0502)","-0.0071 (0.0005)","90.29 (0.3200)","100.00 (0.0000)","0.0502 (0.0442)","0.0026 (0.0000)",-0.5108
"0.2",150,"Large","Multivariable negative binomial regression(Trd)","-0.5114 (0.1424)","-0.0006 (0.0015)","90.80 (0.3100)","96.11 (0.2100)","0.1424 (0.1297)","0.0203 (0.0003)",-0.5108
"0.4",12,"Small","Controlled interrupted time series(CITS)","-0.0476 (0.2021)","-0.0068 (0.0022)","77.68 (0.4500)","23.53 (0.4600)","0.2021 (0.1370)","0.0409 (0.0006)",-0.0408
"0.4",12,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0488 (0.2034)","-0.0080 (0.0022)","77.29 (0.4500)","23.91 (0.4600)","0.2034 (0.1369)","0.0414 (0.0007)",-0.0408
"0.4",12,"Small","Multivariable negative binomial regression(Trd)","-0.0257 (0.4490)","0.0151 (0.0048)","75.55 (0.4600)","24.80 (0.4600)","0.4490 (0.3083)","0.2018 (0.0031)",-0.0408
"0.4",12,"Moderate","Controlled interrupted time series(CITS)","-0.3658 (0.2015)","-0.0091 (0.0022)","77.14 (0.4500)","72.08 (0.4800)","0.2015 (0.1367)","0.0407 (0.0006)",-0.3567
"0.4",12,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3682 (0.2032)","-0.0115 (0.0022)","77.12 (0.4500)","71.51 (0.4800)","0.2032 (0.1380)","0.0414 (0.0006)",-0.3567
"0.4",12,"Moderate","Multivariable negative binomial regression(Trd)","-0.3537 (0.4464)","0.0030 (0.0048)","76.02 (0.4600)","35.45 (0.5100)","0.4464 (0.3112)","0.1993 (0.0031)",-0.3567
"0.4",12,"Large","Controlled interrupted time series(CITS)","-0.5257 (0.2032)","-0.0149 (0.0022)","77.08 (0.4500)","89.62 (0.3300)","0.2032 (0.1376)","0.0415 (0.0006)",-0.5108
"0.4",12,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5231 (0.2033)","-0.0123 (0.0022)","77.24 (0.4500)","89.62 (0.3300)","0.2033 (0.1378)","0.0415 (0.0007)",-0.5108
"0.4",12,"Large","Multivariable negative binomial regression(Trd)","-0.4977 (0.4491)","0.0131 (0.0048)","75.56 (0.4600)","46.70 (0.5400)","0.4491 (0.3110)","0.2018 (0.0030)",-0.5108
"0.4",14,"Small","Controlled interrupted time series(CITS)","-0.0495 (0.1895)","-0.0087 (0.0020)","77.60 (0.4500)","23.73 (0.4600)","0.1895 (0.1288)","0.0360 (0.0006)",-0.0408
"0.4",14,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0479 (0.1897)","-0.0071 (0.0020)","77.39 (0.4500)","23.91 (0.4600)","0.1897 (0.1286)","0.0360 (0.0005)",-0.0408
"0.4",14,"Small","Multivariable negative binomial regression(Trd)","-0.0249 (0.4269)","0.0159 (0.0046)","74.63 (0.4700)","25.16 (0.4700)","0.4269 (0.2881)","0.1825 (0.0027)",-0.0408
"0.4",14,"Moderate","Controlled interrupted time series(CITS)","-0.3665 (0.1874)","-0.0098 (0.0020)","78.88 (0.4400)","75.85 (0.4600)","0.1874 (0.1287)","0.0352 (0.0006)",-0.3567
"0.4",14,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3664 (0.1885)","-0.0097 (0.0020)","77.59 (0.4500)","75.20 (0.4600)","0.1885 (0.1290)","0.0356 (0.0005)",-0.3567
"0.4",14,"Moderate","Multivariable negative binomial regression(Trd)","-0.3426 (0.4343)","0.0141 (0.0047)","74.13 (0.4700)","38.12 (0.5200)","0.4343 (0.2882)","0.1888 (0.0028)",-0.3567
"0.4",14,"Large","Controlled interrupted time series(CITS)","-0.5202 (0.1864)","-0.0094 (0.0020)","78.41 (0.4400)","92.52 (0.2800)","0.1864 (0.1294)","0.0348 (0.0005)",-0.5108
"0.4",14,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5206 (0.1841)","-0.0098 (0.0020)","78.87 (0.4400)","92.39 (0.2800)","0.1841 (0.1295)","0.0340 (0.0005)",-0.5108
"0.4",14,"Large","Multivariable negative binomial regression(Trd)","-0.4992 (0.4331)","0.0116 (0.0046)","75.60 (0.4600)","48.65 (0.5400)","0.4331 (0.2933)","0.1877 (0.0029)",-0.5108
"0.4",16,"Small","Controlled interrupted time series(CITS)","-0.0497 (0.1747)","-0.0089 (0.0019)","77.36 (0.4500)","24.18 (0.4600)","0.1747 (0.1208)","0.0306 (0.0005)",-0.0408
"0.4",16,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0487 (0.1747)","-0.0079 (0.0019)","77.75 (0.4500)","24.25 (0.4600)","0.1747 (0.1210)","0.0306 (0.0005)",-0.0408
"0.4",16,"Small","Multivariable negative binomial regression(Trd)","-0.0259 (0.4186)","0.0149 (0.0045)","72.44 (0.4800)","27.50 (0.4800)","0.4186 (0.2615)","0.1754 (0.0027)",-0.0408
"0.4",16,"Moderate","Controlled interrupted time series(CITS)","-0.3662 (0.1717)","-0.0095 (0.0018)","78.44 (0.4400)","79.68 (0.4300)","0.1717 (0.1213)","0.0296 (0.0005)",-0.3567
"0.4",16,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3669 (0.1714)","-0.0102 (0.0018)","78.12 (0.4400)","79.39 (0.4300)","0.1714 (0.1210)","0.0295 (0.0005)",-0.3567
"0.4",16,"Moderate","Multivariable negative binomial regression(Trd)","-0.3357 (0.4210)","0.0210 (0.0045)","71.55 (0.4800)","41.17 (0.5300)","0.4210 (0.2615)","0.1777 (0.0027)",-0.3567
"0.4",16,"Large","Controlled interrupted time series(CITS)","-0.5238 (0.1727)","-0.0130 (0.0019)","78.07 (0.4400)","94.54 (0.2400)","0.1727 (0.1215)","0.0300 (0.0005)",-0.5108
"0.4",16,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5236 (0.1735)","-0.0128 (0.0019)","78.19 (0.4400)","94.37 (0.2500)","0.1735 (0.1216)","0.0303 (0.0005)",-0.5108
"0.4",16,"Large","Multivariable negative binomial regression(Trd)","-0.4971 (0.4241)","0.0137 (0.0046)","70.61 (0.4900)","53.31 (0.5400)","0.4241 (0.2642)","0.1801 (0.0027)",-0.5108
"0.4",18,"Small","Controlled interrupted time series(CITS)","-0.0443 (0.1590)","-0.0035 (0.0017)","80.23 (0.4300)","21.28 (0.4400)","0.1590 (0.1152)","0.0253 (0.0004)",-0.0408
"0.4",18,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0463 (0.1603)","-0.0055 (0.0017)","80.15 (0.4300)","21.24 (0.4400)","0.1603 (0.1164)","0.0257 (0.0004)",-0.0408
"0.4",18,"Small","Multivariable negative binomial regression(Trd)","-0.0343 (0.4050)","0.0065 (0.0043)","73.39 (0.4700)","26.60 (0.4700)","0.4050 (0.2601)","0.1640 (0.0025)",-0.0408
"0.4",18,"Moderate","Controlled interrupted time series(CITS)","-0.3652 (0.1603)","-0.0085 (0.0017)","79.96 (0.4300)","81.64 (0.4200)","0.1603 (0.1160)","0.0258 (0.0004)",-0.3567
"0.4",18,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3647 (0.1585)","-0.0080 (0.0017)","79.89 (0.4300)","82.02 (0.4100)","0.1585 (0.1158)","0.0252 (0.0004)",-0.3567
"0.4",18,"Moderate","Multivariable negative binomial regression(Trd)","-0.3416 (0.4073)","0.0151 (0.0044)","73.00 (0.4800)","40.76 (0.5300)","0.4073 (0.2597)","0.1661 (0.0025)",-0.3567
"0.4",18,"Large","Controlled interrupted time series(CITS)","-0.5203 (0.1601)","-0.0095 (0.0017)","79.83 (0.4300)","95.99 (0.2100)","0.1601 (0.1158)","0.0257 (0.0004)",-0.5108
"0.4",18,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5218 (0.1598)","-0.0110 (0.0017)","79.63 (0.4300)","96.16 (0.2100)","0.1598 (0.1159)","0.0256 (0.0004)",-0.5108
"0.4",18,"Large","Multivariable negative binomial regression(Trd)","-0.4952 (0.4085)","0.0156 (0.0044)","73.66 (0.4700)","52.91 (0.5400)","0.4085 (0.2601)","0.1671 (0.0026)",-0.5108
"0.4",20,"Small","Controlled interrupted time series(CITS)","-0.0483 (0.1505)","-0.0075 (0.0016)","80.85 (0.4200)","21.35 (0.4400)","0.1505 (0.1107)","0.0227 (0.0003)",-0.0408
"0.4",20,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0493 (0.1515)","-0.0085 (0.0016)","80.63 (0.4200)","21.56 (0.4400)","0.1515 (0.1111)","0.0230 (0.0004)",-0.0408
"0.4",20,"Small","Multivariable negative binomial regression(Trd)","-0.0355 (0.3881)","0.0053 (0.0042)","75.02 (0.4600)","24.90 (0.4600)","0.3881 (0.2570)","0.1506 (0.0023)",-0.0408
"0.4",20,"Moderate","Controlled interrupted time series(CITS)","-0.3646 (0.1513)","-0.0079 (0.0016)","80.85 (0.4200)","83.92 (0.3900)","0.1513 (0.1116)","0.0230 (0.0004)",-0.3567
"0.4",20,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3660 (0.1514)","-0.0093 (0.0016)","80.34 (0.4300)","84.22 (0.3900)","0.1514 (0.1114)","0.0230 (0.0004)",-0.3567
"0.4",20,"Moderate","Multivariable negative binomial regression(Trd)","-0.3413 (0.3947)","0.0154 (0.0042)","74.29 (0.4700)","40.17 (0.5300)","0.3947 (0.2569)","0.1560 (0.0024)",-0.3567
"0.4",20,"Large","Controlled interrupted time series(CITS)","-0.5196 (0.1501)","-0.0088 (0.0016)","80.80 (0.4200)","97.15 (0.1800)","0.1501 (0.1110)","0.0226 (0.0003)",-0.5108
"0.4",20,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5215 (0.1504)","-0.0107 (0.0016)","80.67 (0.4200)","97.05 (0.1800)","0.1504 (0.1111)","0.0227 (0.0004)",-0.5108
"0.4",20,"Large","Multivariable negative binomial regression(Trd)","-0.4980 (0.3940)","0.0128 (0.0042)","74.34 (0.4700)","54.09 (0.5300)","0.3940 (0.2553)","0.1554 (0.0023)",-0.5108
"0.4",24,"Small","Controlled interrupted time series(CITS)","-0.0469 (0.1359)","-0.0061 (0.0015)","82.93 (0.4000)","19.26 (0.4200)","0.1359 (0.1025)","0.0185 (0.0003)",-0.0408
"0.4",24,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0471 (0.1352)","-0.0063 (0.0015)","83.06 (0.4000)","19.19 (0.4200)","0.1352 (0.1028)","0.0183 (0.0003)",-0.0408
"0.4",24,"Small","Multivariable negative binomial regression(Trd)","-0.0268 (0.3699)","0.0140 (0.0040)","76.43 (0.4600)","23.65 (0.4600)","0.3699 (0.2508)","0.1370 (0.0021)",-0.0408
"0.4",24,"Moderate","Controlled interrupted time series(CITS)","-0.3671 (0.1363)","-0.0104 (0.0015)","82.57 (0.4100)","89.02 (0.3400)","0.1363 (0.1023)","0.0187 (0.0003)",-0.3567
"0.4",24,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3665 (0.1354)","-0.0098 (0.0015)","82.82 (0.4000)","88.72 (0.3400)","0.1354 (0.1027)","0.0184 (0.0003)",-0.3567
"0.4",24,"Moderate","Multivariable negative binomial regression(Trd)","-0.3453 (0.3721)","0.0114 (0.0040)","75.90 (0.4600)","40.72 (0.5300)","0.3721 (0.2497)","0.1386 (0.0021)",-0.3567
"0.4",24,"Large","Controlled interrupted time series(CITS)","-0.5210 (0.1353)","-0.0102 (0.0015)","83.06 (0.4000)","98.81 (0.1200)","0.1353 (0.1029)","0.0184 (0.0003)",-0.5108
"0.4",24,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5203 (0.1349)","-0.0095 (0.0014)","82.77 (0.4100)","98.87 (0.1100)","0.1349 (0.1027)","0.0183 (0.0003)",-0.5108
"0.4",24,"Large","Multivariable negative binomial regression(Trd)","-0.4915 (0.3760)","0.0193 (0.0040)","75.64 (0.4600)","54.49 (0.5300)","0.3760 (0.2502)","0.1417 (0.0022)",-0.5108
"0.4",28,"Small","Controlled interrupted time series(CITS)","-0.0453 (0.1243)","-0.0045 (0.0013)","83.93 (0.3900)","18.75 (0.4200)","0.1243 (0.0955)","0.0155 (0.0002)",-0.0408
"0.4",28,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0463 (0.1251)","-0.0055 (0.0013)","83.39 (0.4000)","18.90 (0.4200)","0.1251 (0.0955)","0.0157 (0.0002)",-0.0408
"0.4",28,"Small","Multivariable negative binomial regression(Trd)","-0.0324 (0.3542)","0.0084 (0.0038)","78.76 (0.4400)","21.12 (0.4400)","0.3542 (0.2509)","0.1255 (0.0019)",-0.0408
