"rho","n","EstimandScenario","Method","Policy effect (Empirical SE)","Bias (MCSE)","Coverage 95% (MCSE)","Power (MCSE)","Empirical SE (Model-based SE)","Mean square error (MCSE)","true_val"
"0",36,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3643 (0.1090)","-0.0076 (0.0012)","87.15 (0.3600)","95.41 (0.2200)","0.1090 (0.0898)","0.0119 (0.0002)",-0.3567
"0",36,"Moderate","Multivariable negative binomial regression(Trd)","-0.3503 (0.2484)","0.0064 (0.0027)","85.84 (0.3700)","44.33 (0.5300)","0.2484 (0.2082)","0.0617 (0.0009)",-0.3567
"0",36,"Large","Controlled interrupted time series(CITS)","-0.5177 (0.0717)","-0.0069 (0.0008)","92.02 (0.2900)","100.00 (0.0000)","0.0717 (0.0676)","0.0052 (0.0001)",-0.5108
"0",36,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5189 (0.1103)","-0.0081 (0.0012)","87.10 (0.3600)","99.87 (0.0400)","0.1103 (0.0902)","0.0122 (0.0002)",-0.5108
"0",36,"Large","Multivariable negative binomial regression(Trd)","-0.5041 (0.2500)","0.0067 (0.0027)","86.15 (0.3700)","66.53 (0.5100)","0.2500 (0.2070)","0.0625 (0.0009)",-0.5108
"0",40,"Small","Controlled interrupted time series(CITS)","-0.0450 (0.0668)","-0.0042 (0.0007)","92.41 (0.2800)","13.75 (0.3700)","0.0668 (0.0637)","0.0045 (0.0001)",-0.0408
"0",40,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0452 (0.1036)","-0.0044 (0.0011)","87.47 (0.3600)","16.03 (0.3900)","0.1036 (0.0851)","0.0108 (0.0002)",-0.0408
"0",40,"Small","Multivariable negative binomial regression(Trd)","-0.0380 (0.2426)","0.0028 (0.0026)","86.97 (0.3600)","13.20 (0.3600)","0.2426 (0.2058)","0.0589 (0.0009)",-0.0408
"0",40,"Moderate","Controlled interrupted time series(CITS)","-0.3608 (0.0679)","-0.0041 (0.0007)","92.06 (0.2900)","99.95 (0.0200)","0.0679 (0.0637)","0.0046 (0.0001)",-0.3567
"0",40,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3628 (0.1043)","-0.0061 (0.0011)","87.41 (0.3600)","96.60 (0.1900)","0.1043 (0.0856)","0.0109 (0.0002)",-0.3567
