"rho","n","EstimandScenario","Method","R_total","R_converged","nonconv_rate","true_val","B_hat","Bias","MCSE_Bias","Bias_percent","MSE_estimate","MCSE_MSE","coverage","MCSE_coverage","power","MCSE_power","Empirical_SE","avg_model_SE","ratio_Emp_ModelSE","power_pct","MCSE_power_pct","coverage_pct","MCSE_cov_pct"
"0.4",150,"Small","CITS_0.4_constant",8688,8688,0,-0.0408,-0.0445,-0.0037,6e-04,9.07,0.0027,4.08474491650023e-05,0.901933701657459,0.0032,0.215814917127072,0.0044,0.0514,0.0443,1.1603,21.58,0.44,90.19,0.32
"0.4",150,"Small","CITS_spill_3pct",8688,8688,0,-0.0408,0.0606,0.1014,6e-04,248.53,0.0129,0.000119720446010635,0.38823664825046,0.0052,0.314456721915285,0.005,0.0513,0.0444,1.1554,31.45,0.5,38.82,0.52
"0.4",150,"Small","Trd",8688,8688,0,-0.0408,-0.0387,0.0021,0.002,5.15,0.0341,0.000526222717405802,0.879949355432781,0.0035,0.131790976058932,0.0036,0.1847,0.1534,1.204,13.18,0.36,87.99,0.35
"0.4",150,"Moderate","CITS",8688,8688,0,-0.3567,-0.3622,-0.0055,6e-04,1.54,0.0027,4.09816522403621e-05,0.899746777163904,0.0032,1,0,0.0515,0.0445,1.1573,100,0,89.97,0.32
"0.4",150,"Moderate","CITS_0.4_constant",8688,8688,0,-0.3567,-0.3618,-0.0051,6e-04,1.43,0.0027,4.11325037921728e-05,0.901243093922652,0.0032,1,0,0.0516,0.0445,1.1596,100,0,90.12,0.32
"0.4",150,"Moderate","CITS_spill_3pct",8688,8688,0,-0.3567,-0.2569,0.0998,6e-04,27.98,0.0126,0.00011723651412842,0.393531307550645,0.0052,0.999079189686924,3e-04,0.0517,0.0445,1.1618,99.91,0.03,39.35,0.52
"0.4",150,"Moderate","Trd",8688,8688,0,-0.3567,-0.3555,0.0012,0.002,0.34,0.0339,0.00051317776818032,0.888581952117864,0.0034,0.615906998158379,0.0052,0.1841,0.155,1.1877,61.59,0.52,88.86,0.34
"0.4",150,"Large","CITS",8688,8688,0,-0.5108,-0.5169,-0.0061,6e-04,1.19,0.0027,4.14648021734136e-05,0.899171270718232,0.0032,1,0,0.0518,0.0447,1.1588,100,0,89.92,0.32
"0.4",150,"Large","CITS_0.4_constant",8688,8688,0,-0.5108,-0.517,-0.0062,6e-04,1.21,0.0028,4.25375469740724e-05,0.89548802946593,0.0033,1,0,0.0523,0.0446,1.1726,100,0,89.55,0.33
"0.4",150,"Large","CITS_spill_3pct",8688,8688,0,-0.5108,-0.4113,0.0995,6e-04,19.48,0.0126,0.000119480452927961,0.403545119705341,0.0053,1,0,0.0521,0.0446,1.1682,100,0,40.35,0.53
"0.4",150,"Large","Trd",8688,8688,0,-0.5108,-0.5072,0.0036,0.002,0.7,0.0349,0.00051940745330841,0.875460405156538,0.0035,0.863950276243094,0.0037,0.1868,0.1542,1.2114,86.4,0.37,87.55,0.35
"0.6",12,"Small","CITS",8688,8688,0,-0.0408,-0.0514,-0.0106,0.003,25.98,0.0795,0.00123751398212802,0.643646408839779,0.0051,0.364986187845304,0.0052,0.2818,0.1459,1.9315,36.5,0.52,64.36,0.51
"0.6",12,"Small","CITS_0.4_constant",8688,8688,0,-0.0408,-0.0504,-0.0096,0.0027,23.53,0.0657,0.0010247469953852,0.687615101289134,0.005,0.318830570902394,0.005,0.2562,0.1461,1.7536,31.88,0.5,68.76,0.5
"0.6",12,"Small","CITS_spill_3pct",8688,8688,0,-0.0408,0.0527,0.0935,0.003,229.17,0.0881,0.00130118169216809,0.610267034990792,0.0052,0.370511049723757,0.0052,0.2817,0.1464,1.9242,37.05,0.52,61.03,0.52
"0.6",12,"Small","Trd",8688,8688,0,-0.0408,-0.0289,0.0119,0.0051,29.17,0.2227,0.00342987182133538,0.735267034990792,0.0047,0.264848066298343,0.0047,0.4718,0.3172,1.4874,26.48,0.47,73.53,0.47
"0.6",12,"Moderate","CITS",8688,8688,0,-0.3567,-0.3675,-0.0108,0.003,3.03,0.0791,0.0012155410053643,0.632021178637201,0.0052,0.664249539594843,0.0051,0.281,0.1455,1.9313,66.42,0.51,63.2,0.52
"0.6",12,"Moderate","CITS_0.4_constant",8688,8688,0,-0.3567,-0.3665,-0.0098,0.0028,2.75,0.0665,0.001014429681519,0.689111418047882,0.005,0.657458563535912,0.0051,0.2577,0.1481,1.74,65.75,0.51,68.91,0.5
"0.6",12,"Moderate","CITS_spill_3pct",8688,8688,0,-0.3567,-0.2611,0.0956,0.003,26.8,0.0884,0.00130048321781278,0.598411602209945,0.0053,0.536602209944751,0.0053,0.2815,0.1455,1.9347,53.66,0.53,59.84,0.53
"0.6",12,"Moderate","Trd",8688,8688,0,-0.3567,-0.3434,0.0133,0.0051,3.73,0.2255,0.00341565061415186,0.741022099447514,0.0047,0.370741252302026,0.0052,0.4747,0.3201,1.483,37.07,0.52,74.1,0.47
"0.6",12,"Large","CITS",8688,8688,0,-0.5108,-0.5198,-0.009,0.003,1.76,0.0775,0.00119383694775385,0.646293738489871,0.0051,0.822283609576427,0.0041,0.2783,0.1461,1.9049,82.23,0.41,64.63,0.51
"0.6",12,"Large","CITS_0.4_constant",8688,8688,0,-0.5108,-0.52,-0.0092,0.0027,1.8,0.0651,0.000997672910511751,0.689686924493554,0.005,0.8298802946593,0.004,0.255,0.1474,1.73,82.99,0.4,68.97,0.5
"0.6",12,"Large","CITS_spill_3pct",8688,8688,0,-0.5108,-0.4143,0.0965,0.003,18.89,0.0871,0.00129830715685863,0.610957642725598,0.0052,0.722375690607735,0.0048,0.2789,0.1461,1.909,72.24,0.48,61.1,0.52
"0.6",12,"Large","Trd",8688,8688,0,-0.5108,-0.495,0.0158,0.0051,3.09,0.2287,0.00350326630607321,0.743324125230203,0.0047,0.46109576427256,0.0053,0.478,0.3213,1.4877,46.11,0.53,74.33,0.47
"0.6",14,"Small","CITS",8688,8688,0,-0.0408,-0.0511,-0.0103,0.0028,25.25,0.0683,0.00104807397742668,0.660911602209945,0.0051,0.343577348066298,0.0051,0.2611,0.1404,1.8597,34.36,0.51,66.09,0.51
"0.6",14,"Small","CITS_0.4_constant",8688,8688,0,-0.0408,-0.0502,-0.0094,0.0025,23.04,0.0565,0.00086214141960356,0.709714548802947,0.0049,0.299148250460405,0.0049,0.2376,0.1401,1.6959,29.91,0.49,70.97,0.49
"0.6",14,"Small","CITS_spill_3pct",8688,8688,0,-0.0408,0.0533,0.0941,0.0028,230.64,0.0771,0.00113268528755403,0.620511049723757,0.0052,0.354166666666667,0.0051,0.2612,0.14,1.8657,35.42,0.51,62.05,0.52
"0.6",14,"Small","Trd",8688,8688,0,-0.0408,-0.0275,0.0133,0.0051,32.6,0.2252,0.00344193446400682,0.729166666666667,0.0048,0.273480662983425,0.0048,0.4744,0.3039,1.561,27.35,0.48,72.92,0.48
"0.6",14,"Moderate","CITS",8688,8688,0,-0.3567,-0.369,-0.0123,0.0028,3.45,0.0675,0.00105402650151522,0.66494014732965,0.0051,0.691068139963168,0.005,0.2595,0.1396,1.8589,69.11,0.5,66.49,0.51
"0.6",14,"Moderate","CITS_0.4_constant",8688,8688,0,-0.3567,-0.3646,-0.0079,0.0025,2.21,0.0564,0.000867250335081768,0.708908839779006,0.0049,0.679097605893186,0.005,0.2374,0.1404,1.6909,67.91,0.5,70.89,0.49
"0.6",14,"Moderate","CITS_spill_3pct",8688,8688,0,-0.3567,-0.2638,0.0929,0.0028,26.04,0.0759,0.00113233525906217,0.628453038674033,0.0052,0.555133517495396,0.0053,0.2595,0.1395,1.8602,55.51,0.53,62.85,0.52
